country,count
United States of America,2604
United Kingdom,482
Canada,199
Germany,136
Netherlands,98
Australia,73
France,51
Ireland,51
India,50
Brazil,37
Sweden,29
Switzerland,28
Spain,26
New Zealand,24
Portugal,23
Poland,21
Italy,19
Belgium,17
Russia,16
South Africa,16
Bulgaria,13
Finland,13
Mexico,12
Norway,12
Austria,10
Denmark,9
Israel,9
Japan,9
Romania,9
Greece,7
Pakistan,7
Colombia,6
Czech Republic,6
Estonia,5
Singapore,5
Turkey,5
Argentina,4
Croatia,4
Hungary,4
Serbia,4
Afghanistan,3
Bangladesh,3
Bosnia and Herzegovina,3
Chile,3
Indonesia,3
Ukraine,3
-1,2
Algeria,2
China,2
Costa Rica,2
Georgia,2
Hong Kong,2
Iceland,2
Latvia,2
Lithuania,2
Nigeria,2
Other,2
Slovakia,2
Uruguay,2
"Bahamas, The",1
Belarus,1
Brunei,1
Ecuador,1
Ethiopia,1
Ghana,1
Guatemala,1
Iran,1
Jordan,1
Kenya,1
Macedonia,1
Mauritius,1
Moldova,1
Philippines,1
Saudi Arabia,1
Slovenia,1
Taiwan,1
Thailand,1
Venezuela,1
Vietnam,1
Zimbabwe,1
